created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 11 23:17:45 +0000 2024;1756819842504839493;"@meillasoux dirty vote bukannya hrs netral ya? 31k ribu suara tercoblos kok ga di bahas seh 🙏🏻";0;0;0;1;in;1509766841119387650;1756630558053191751;ghispieworld;https://twitter.com/ghispieworld/status/1756819842504839493
Sun Feb 11 23:17:39 +0000 2024;1756819819360583960;"Dirty Vote,  Sudah dipaparkan data dan fakta oleh ahlinya, masih dibilang tidak ilmiah.   Sepertinya mereka bukan lagi pura² buta, tapi benar² sengaja buta.";0;0;1;2;in;1217591053248712705;1756819819360583960;rifqi_wafa;https://twitter.com/rifqi_wafa/status/1756819819360583960
Sun Feb 11 23:17:25 +0000 2024;1756819758782329315;"@RisaHart Nonton yoook..... #dirtyvote";0;0;0;0;in;390130379;1756678907783487831;Tohaci;https://twitter.com/Tohaci/status/1756819758782329315
Sun Feb 11 23:17:24 +0000 2024;1756819753891770481;"Dirty Vote adalah Film yang mempertontonkan betapa rusaknya tatanan demokrasi, Wajib!!! nonton sebagai bentuk edukasi untuk masyarakat terutama beberapa hari sebelum mereka menggunakan hak pilihnya saat pemungutan suara pada 14 Februari 2024";0;0;1;0;in;1388808521911656448;1756819753891770481;rinduaku_;https://twitter.com/rinduaku_/status/1756819753891770481
Sun Feb 11 23:17:24 +0000 2024;1756819753614885188;"@fauzifadillah96 imo ini emg pasti tim mereka dah tau kalau ada “dirty vote” dan akan tayang, makanya dah prepare juga";0;2;1;1;in;1497671886616264706;1756626955162825205;alleswirdt0ll;https://twitter.com/alleswirdt0ll/status/1756819753614885188
Sun Feb 11 23:17:23 +0000 2024;1756819749642887280;"Sama-sama mengalami nih, mas.  11-02-23 sekitar jam 6 malam  waktu nonton menit pertama sempat ss dengan masi sekitar 26k likes 12-02-23 sekitar jam 6 pagi  postingan PSHK Indonesia sudah tidak paling atas seperti sebelumnya, padahal keyword yg dicari sama “dirty vote full movie” https://t.co/OaeXmzhSuE";0;2;0;0;in;750907235316957184;1756819749642887280;hasanah11_hana;https://twitter.com/hasanah11_hana/status/1756819749642887280
Sun Feb 11 23:17:21 +0000 2024;1756819743338910156;"@ajengcute16__ Yg sudah liat film dirty vote, masih percaya omongan Ajeng ..  berati anda bego";0;0;0;0;in;1729099096269713408;1756596599919345950;MantanKamu1993;https://twitter.com/MantanKamu1993/status/1756819743338910156
Sun Feb 11 23:17:20 +0000 2024;1756819740746772962;"@ApriliaLin Sexxy killer membuat prabowo kalah. Dirty vote akan kembali mengulang kekalahan prabowo";0;0;0;0;in;1682620226620526594;1756686574262325669;telutelu43;https://twitter.com/telutelu43/status/1756819740746772962
Sun Feb 11 23:17:19 +0000 2024;1756819733813547201;"@pengembaraksara @75tice @KingOfHighlandd @dwinnura @PartaiSocmed kalo ga bahas film ngapain reply di twt yg lg bahas film dirty vote? km ga nyimeng kan kak?";0;1;0;13;in;1169132986094292992;1756681033326703010;petjahanhati;https://twitter.com/petjahanhati/status/1756819733813547201
Sun Feb 11 23:17:15 +0000 2024;1756819717380313366;"mengusahakan nonton dirty vote pagi ini soalnya hari ini dan beberapa hari ke depan akan sangat hectic yakin";0;0;0;0;in;1673601907477352448;1756819717380313366;charisbdis;https://twitter.com/charisbdis/status/1756819717380313366
Sun Feb 11 23:17:13 +0000 2024;1756819710241632379;"RUGI KALAU TIDAK NONTON FILM DOKUMENTER INDONESIA, TIGA PENDEKAR HUKUM, AYO NONTON " DIRTY VOTE" SUDAH TAYANG DI YOU TUBE";0;0;0;0;in;276118347;1756819710241632379;Almuiz_Zona;https://twitter.com/Almuiz_Zona/status/1756819710241632379
Sun Feb 11 23:17:11 +0000 2024;1756819701135733155;"@fadlizon Bagusan Dirty Vote kok pak, membuka mata dan mendapatkan banyak hal yg patut diketahui";0;0;0;0;in;1307656525305970688;1756726580225978478;Oktavia05114452;https://twitter.com/Oktavia05114452/status/1756819701135733155
Sun Feb 11 23:17:08 +0000 2024;1756819686812180492;"emang sih, nonton dirty vote tuh berasa kuliah 3 sks😭 tapi isinya beneran fakta anjir..  sama kayak sexy killers gak sih, isinya ngebuka semua paslon.. cuma emang yg banyak ehm ehmnya kan paslon onoh, makanya ketar ketir.";0;0;0;0;in;1120581673026867200;1756819686812180492;yourctm_;https://twitter.com/yourctm_/status/1756819686812180492
Sun Feb 11 23:17:03 +0000 2024;1756819665920434236;"Memulai pagi dengan koran ❌ Memulai pagi dengan nonton dan baca ulasan/tafsiran Dirty Vote ✅";0;2;0;0;in;1636923104;1756819665920434236;profneutrino;https://twitter.com/profneutrino/status/1756819665920434236
Sun Feb 11 23:16:55 +0000 2024;1756819635813695915;"gue gamau buka TikTok dulu dah, gue gasanggup ngeliat NARASI "FITNAH" yg mereka buat.. gasanggup ngeliat komen "GANGARUH" "TETEP ALL IN" gasanggup gue demi🥺🤕  #DIRTYVOTE";0;0;0;0;in;1517020387254894592;1756819635813695915;imlovelyjewel;https://twitter.com/imlovelyjewel/status/1756819635813695915
